course_number,course_name,quarter_credits,semester_credits_equiv,eng_design_qc_low,eng_design_qc_high,eng_design_confidence,eng_science_qc_low,eng_science_qc_high,eng_science_confidence,criterion5b_total_qc_low,criterion5b_total_qc_high,criterion5b_total_sc_low,criterion5b_total_sc_high,modern_tools,notes,eval_doc
HCDE 351,User Experience Prototyping Techniques,5,3.3,3.0,3.5,High,0.25,0.5,Low,3.25,4.0,2.15,2.65,"Onshape/Rhino CAD, laser cutter, FDM 3D printer, sewing machine, vector graphics software","Studio course; engineering design is primary strength; engineering science is tacit materials/manufacturing knowledge only — disclose as uncertain in self-study","HCDE 351/HCDE_351_ABET_Evaluation.docx"
HCDE 411,Information Visualization,5,3.3,2.5,3.0,High,1.0,1.5,Moderate,3.5,4.5,2.32,2.98,"Tableau, Altair/Python, Jupyter Notebooks, git, Google Sheets","Lecture/studio hybrid; strong design cycle via 10-week team project (P1-P6); engineering science grounded in perceptual science, formal data theory, and computational methods — more defensible than most HCDE courses","HCDE 411/HCDE_411_ABET_Evaluation.docx"
HCDE 410,Human Data Interaction,5,3.3,1.0,1.5,Moderate,1.0,1.5,Moderate,2.0,3.0,1.32,1.98,"Jupyter Notebooks, Python (pandas/matplotlib), GitHub, Socrata Open Data API, Perspective API","Research process design (A4-A7) = primary engineering design content; quantitative data analysis (A1/A2/A7) + scientific methodology = engineering science; A3 (ethnography) excluded entirely; both categories Moderate confidence — must be framed carefully in self-study","HCDE 410/HCDE_410_ABET_Evaluation.docx"
HCDE 313,Introduction to User Research,5,3.3,0.25,0.5,Low,0.5,0.75,Low-Moderate,0.75,1.25,0.50,0.83,"Online survey platforms (WebQ/SurveyMonkey/Google Forms), Excel/Google Sheets","Weakest Criterion 5b contributor so far; field study and interview methods are qualitative and excluded from engineering science; survey phase (Wks 8-10) provides quantitative content; engineering design credit is marginal (Low) — may not survive strict ABET review; consider positioning as Criterion 5c rather than 5b","HCDE 313/HCDE_313_ABET_Evaluation.docx"
HCDE 302,Foundations of Human-Centered Design I,5,3.3,2.5,3.5,High,0.0,0.25,Low,2.5,3.75,1.65,2.48,"Miro/FigJam, Figma, Google Docs/Sheets, otter.ai, Zoom","Strongest engineering design contributor evaluated so far; complete front-end design process — problem framing, user research as requirements development, multi-solution ideation with weighted trade-off matrix, design requirements derivation, iterative critique/revision; no quantitative content so engineering science is Low/marginal; pairs with HCDE 351 for full design cycle argument in self-study","HCDE 302/HCDE_302_ABET_Evaluation.docx"
HCDE 303,Foundations of Human-Centered Design II,5,3.3,2.8,3.5,High,0.35,0.75,Low-Moderate,3.15,4.25,2.08,2.81,"Figma, Origami Studio, OnShape, Blender, Rhino, SketchUp, SUS/User Burden Scale, Framer/Google Sites/Canva/Wix, Slack","Strongest engineering design contributor evaluated; explicit two-quarter sequence with HCDE 302 (teams continue same project); complete back-end design cycle: IA + tree testing, lo-fi, concept testing (≥3 users), mid-fi, usability testing (SUS — validated quantitative instrument; rubric requires quantitative + qualitative results), expert review by industry/academia, hi-fi, design specifications (3 goals + 5 requirements + Figma design system for developer handoff); present 302+303 as unified sequence in self-study; SUS introduces quantitative measurement — strongest engineering science case evaluated but still Low-Moderate (social science not mathematics)","HCDE 303/HCDE_303_ABET_Evaluation.docx"
HCDE 315,Inclusive Design and Engineering,5,3.3,1.7,2.95,Moderate,0.0,0.25,Low,1.7,3.2,1.12,2.11,"Silktide/Siteimprove/WAVE accessibility checkers, VoiceOver/NVDA/JAWS screen readers, Figma/FigJam (team-selected), Slack, presentation software","Complete co-design project sequence (P1-P11): requirements development via HMW questions, 6-concept generation with partner feedback, iterative prototyping (V1→V2), design principles + specifications, competitive analysis; A2 web accessibility evaluation using W3C/WCAG + 3 automated tools + screen reader is strong supporting design evidence; no quantitative content so engineering science is Low; large share of content (readings on disability/race/feminist critique/neurodiversity/AI justice, reading reflections, philosophy zine) is Criterion 5c not 5b; Moderate not High because course frames work as inclusive design methodology requiring interpretive translation to ABET language; reading reflections provided outside Canvas as paper docx files","HCDE 315/HCDE_315_ABET_Evaluation.docx"
HCDE 417,Usability Research Techniques,5,3.3,0.25,0.75,Low,0.0,0.25,Low,0.25,1.0,0.17,0.66,"Slack, screen/session recording (tool not prescribed), Google Scholar","Research methods course; quarter-long team project designing and conducting an empirical usability study of a self-selected product; engineering design credit derives from study protocol design (research questions, task list/test session script, study specifications/scoping); course is qualitatively dominant throughout (think-aloud, observation, interviews); no quantitative methods required; positionalities assignment reflects qualitative social science tradition; W-credit designation confirms research communication as primary outcome; no rubrics.xml in export; weakest Criterion 5b contributor alongside HCDE 313; do not cite for engineering science without confirming quantitative methods used","HCDE 417/HCDE_417_ABET_Evaluation.docx"
HCDE 438,Web Technologies,5,3.3,1.25,2.0,Moderate,0.0,0.25,Low,1.25,2.25,0.83,1.49,"HTML5/CSS3, JavaScript (ES6+/async/await/Promises), React (Vite), Bootstrap, Tailwind CSS, Firebase (Firestore/Auth/Hosting), Netlify, Vercel, Git/GitHub, VS Code, Chrome DevTools, Miro, REST APIs","Programming course; engineering design derives primarily from Final Project (FP1-FP3, 70% grade weight): student-defined app concept, purpose/audience requirements, technical architecture planning, wireframes (FP1), iterative development with feedback (FP2), deployed product evaluated against stated requirements (FP3); mini projects and 1.x assignment series are prescribed implementation exercises not qualifying as engineering design; no engineering science content (no quantitative/mathematical methods); strongest modern tools inventory in curriculum; Moderate confidence reflects genuine FP design structure but absence of explicit multi-solution evaluation and trade-off analysis; labeled ARCHIVED in export but all content intact","HCDE 438/HCDE_438_ABET_Evaluation.docx"
HCDE 492,Capstone Planning,2,1.33,0.5,1.0,Low-Moderate,0.0,0.25,Low,0.5,1.25,0.33,0.83,"Slack, Google Drive/Docs/Slides, Miro Board","Pre-capstone planning seminar; engineering design credit derives from A7 (methodology specification: design question + HCD methods for each milestone with motivation/rationale/quantified scope) and A8/A11 (deliverable specification, timeline, proposal synthesis); the course designs the design process rather than executing it — a strict reviewer could argue methodology planning falls outside EAC 5b definition; Low-Moderate confidence reflects this interpretive uncertainty; A6 (Design Research Review) provides weak engineering science credit (science consumption, not production — students identify methods in published ACM studies); no qualifying modern engineering tools (collaboration tools only); frame as planning phase of the 492–493 capstone sequence in the self-study and do not cite independently to meet the 45 SC threshold","HCDE 492/HCDE_492_ABET_Evaluation.docx"
